airport￨root
one￨nummod way￨root
ci0￨compound airport￨root
ground￨root ci0￨punct
code￨compound al0￨root
ci0￨compound airport￨root
al0￨root fn0￨flat
describ￨root ap0￨flat
ground￨compound transport￨root ci0￨punct
ground￨compound transport￨root ci0￨punct
what￨root is￨cop sa￨appos
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
onli￨discourse show￨root al0￨punct
explain￨root restrict￨xcomp rc0￨punct
all￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
how￨advmod mani￨compound seat￨root in￨case a￨det ac0￨nmod
i￨nsubj need￨root ground￨compound transport￨obj in￨case ci0￨obl
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
show￨root me￨iobj the￨det most￨advmod expens￨amod fare￨obj
show￨root me￨iobj the￨det flight￨obj to￨case ap0￨nmod
ground￨compound transport￨root in￨case ci0￨nmod and￨cc ci1￨conj
how￨advmod mani￨nsubj al0￨aux leav￨root from￨case ci0￨obl
what￨det plane￨nsubj are￨aux use￨root by￨obl al0￨punct
am￨cop flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod
show￨root me￨iobj the￨det flight￨obj from￨case ap0￨nmod
show￨root flight￨obj from￨case ci1￨obl into￨case ci0￨obl
what￨det the￨det capac￨root of￨case a￨det ac0￨nmod
show￨root flight￨obj from￨case ci1￨obl into￨case ci0￨obl
list￨root all￨det:predet the￨det land￨obj at￨case ap0￨nmod
pm￨compound flight￨compound leav￨compound ci0￨compound arriv￨root ci1￨punct
all￨det flight￨root befor￨case ti0￨compound ci0￨nmod ci1￨punct
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
round￨amod trip￨compound ci1￨root to￨case ci0￨compound nonstop￨nmod
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
flight￨root from￨case ci0￨compound citi￨nmod to￨case ci1￨nmod
al0￨root from￨case ci1￨nmod to￨case ci0￨compound morn￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
list￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj the￨det airlin￨obj from￨case ap0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨compound washington￨nmod
show￨root me￨obj ci0￨xcomp to￨case ci1￨det flight￨obl
show￨root me￨iobj the￨det flight￨obj into￨case ap0￨nmod
list￨compound flight￨root between￨case ci1￨nmod and￨cc ci0￨conj
list￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod
list￨root all￨det:predet the￨det land￨obj at￨case ap0￨nmod
all￨det fare￨root and￨cc flight￨conj from￨case ci0￨nmod
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
pleas￨nsubj list￨root all￨det al0￨obj into￨case ci0￨obl
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
what￨root the￨det name￨nsubj of￨case the￨det ap0￨nmod
lowest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
afternoon￨compound flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
what￨det doe￨compound fare￨compound code￨nsubj fb0￨aux mean￨root
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl
show￨root flight￨obj from￨case ci1￨obl into￨case ci0￨obl
flight￨nsubj inform￨root from￨case ci0￨obl to￨case ci1￨obl
cheapest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj 'm￨aux fli￨root from￨case ci0￨obl to￨case ci1￨obl
list￨root all￨det flight￨compound arriv￨obj at￨case ap0￨obl
weekday￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root flight￨obj between￨case ci0￨nmod and￨cc ci1￨conj
cheapest￨amod fare￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
all￨det flight￨root from￨case ap0￨nmod to￨case ci0￨nmod
flight￨nsubj inform￨root from￨case ci0￨obl to￨case ci1￨obl
all￨det flight￨root and￨cc fare￨conj from￨case ci0￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj morn￨compound flight￨obj from￨case ci0￨nmod
is￨root there￨nmod:poss ground￨nsubj transport￨nsubj in￨case ci0￨nmod
pleas￨nsubj give￨root ground￨compound transport￨obj at￨case ap0￨obl
inform￨root on￨case ground￨compound transport￨obl in￨case ci0￨nmod
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root all￨det flight￨compound ci0￨obj to￨case ci1￨obl
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
give￨root me￨iobj the￨det al0￨obj from￨case ci0￨nmod
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨obj doe￨cop the￨det abbrevi￨compound al0￨nsubj mean￨root
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
how￨advmod mani￨compound seat￨root in￨case a￨det ac0￨nmod
what￨det doe￨nsubj rc0￨aux stand￨root for￨obl for￨case meal￨obl
list￨root the￨det takeoff￨obj and￨cc land￨conj at￨case ap0￨obl
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj all￨det al0￨det first￨amod class￨compound flight￨obj
list￨compound flight￨root from￨case ci1￨nmod to￨case ci0￨nmod da0￨punct
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
what￨det al0￨det flight￨nsubj leav￨csubj ci0￨root befor￨advmod ti0￨punct
flight￨root on￨case al0￨nmod from￨case ci1￨nmod to￨case ci0￨nmod
what￨det ground￨obj transport￨nsubj is￨aux avail￨root at￨case ap0￨obl
show￨root all￨det flight￨obj from￨case ci1￨obl to￨case ci0￨obl
doe￨compound al0￨compound fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj 'm￨aux look￨root for￨case ground￨compound transport￨obl in￨case ci0￨nmod
list￨compound daili￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det doe￨compound rc0￨compound design￨nsubj al0￨cop a￨det meal￨root
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl
what￨det al0￨det flight￨nsubj leav￨csubj ci0￨root befor￨advmod ti0￨punct
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨nsubj airlin￨compound fli￨root between￨case ci1￨nmod and￨cc ci0￨conj
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
ground￨compound transport￨root from￨case ap0￨nmod to￨case downtown￨nmod ci0￨punct
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj the￨det latest￨amod flight￨obj to￨case ap0￨nmod
what￨root are￨cop the￨det citi￨compound serv￨nsubj by￨case al0￨nmod
list￨root the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨det pleas￨obl
show￨root me￨iobj the￨det flight￨obj out￨case of￨case ap0￨nmod
is￨root there￨expl limousin￨amod servic￨compound avail￨nsubj at￨case ap0￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨obj citi￨nsubj are￨aux serv￨root by￨case al0￨compound intern￨obl
how￨advmod mani￨nmod:poss al0￨case flight￨nsubj leav￨root from￨case ci0￨obl
what￨root the￨det ground￨nsubj transport￨nsubj like￨obl at￨nmod ci0￨punct
flight￨root from￨case ci1￨nmod and￨cc ci2￨conj to￨case ci0￨nmod
pleas￨compound list￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj stop￨root in￨case ci0￨obl befor￨advmod ti0￨punct
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
show￨root me￨iobj the￨det flight￨compound class￨obj for￨case al0￨nmod
doe￨compound al0￨compound fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
price￨root of￨case flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det ground￨compound transport￨nsubj in￨case ci0￨nmod
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
which￨nsubj al0￨aux stop￨root in￨case ci0￨obl befor￨advmod ti0￨punct
what￨root the￨det fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root last￨amod flight￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨root about￨case a￨det car￨compound rental￨nmod in￨case ci0￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨obj al0￨advmod from￨case ci0￨obl to￨case ci1￨obl
list￨root the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
doe￨compound al0￨compound fli￨root from￨case ci1￨nmod to￨case ci0￨nmod
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
doe￨compound al0￨compound fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
pleas￨compound list￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
show￨root me￨iobj the￨det flight￨compound arriv￨obj at￨case ap0￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
economi￨discourse fare￨compound ci0￨root to￨case ci1￨det round￨amod trip￨nmod
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod on￨case al0￨nmod
list￨root all￨det flight￨obj on￨case al0￨compound leav￨obl ci0￨punct
show￨root me￨iobj all￨det ground￨compound transport￨obj in￨case ci0￨nmod
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
now￨advmod get￨root me￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root afternoon￨compound flight￨obj from￨case ci1￨obl to￨case ci0￨obl
what￨root airlin￨cop fli￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj the￨det ground￨obj transport￨obj in￨case ci0￨nmod
list￨compound daili￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj 'm￨aux fli￨root from￨case ci1￨obl to￨case the￨det ci0￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod and￨cc price￨conj
doe￨compound al0￨compound fli￨root from￨case ci1￨nmod to￨case ci0￨nmod
show￨root me￨iobj flight￨obj on￨case m￨compound n￨case 0￨nmod dn0￨compound pleas￨nmod
doe￨compound al0￨compound fli￨root from￨case ci1￨nmod to￨case ci0￨nmod
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod
which￨det al￨compound 0￨nummod fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
how￨advmod mani￨compound passeng￨nsubj fit￨root on￨case a￨det ac0￨obl
which￨nsubj airlin￨nsubj have￨root first￨amod class￨compound flight￨obj today￨obl:tmod
doe￨compound al0￨compound fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨root about￨case flight￨nmod from￨case ci1￨nmod to￨case ci0￨nmod
tell￨root me￨obj about￨case ground￨compound transport￨obl at￨case ci0￨nmod
show￨root me￨obj fare￨xcomp from￨case ci1￨obl to￨case ci0￨obl
list￨root all￨det:predet the￨det airlin￨obj that￨nsubj servic￨acl:relcl ci0￨punct
i￨nsubj want￨root to￨mark fli￨xcomp ci0￨obj to￨case ci1￨obl
inform￨root on￨case flight￨obl from￨case ci0￨nmod to￨case ci1￨obl
list￨root all￨det al0￨obj from￨case ci1￨obl to￨case ci0￨obl
show￨root me￨iobj the￨det flight￨compound leav￨obj from￨case ap0￨nmod
flight￨root from￨case ci0￨det new￨amod jersey￨nmod to￨case ci1￨nmod
show￨root me￨iobj the￨det flight￨obj out￨case of￨case ap0￨nmod
flight￨root on￨case da0￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
earli￨amod morn￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
which￨det airlin￨nsubj are￨aux repres￨root in￨case the￨det databas￨obl
what￨root airlin￨cop fli￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
list￨compound daili￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
what￨det ground￨compound transport￨nsubj is￨cop there￨root in￨case ci0￨obl
what￨root airlin￨cop fli￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj the￨det car￨compound rental￨obj in￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨compound includ￨compound fare￨nmod
show￨root me￨obj fare￨xcomp from￨case ci0￨obl to￨case ci1￨obl
what￨det ground￨compound transport￨nsubj is￨cop there￨root in￨case ci0￨obl
show￨root me￨iobj ground￨compound transport￨nsubj inform￨xcomp for￨case ci0￨obl
show￨root flight￨obj from￨case ci0￨compound citi￨obl to￨case ci1￨obl
what￨root are￨cop fare￨compound code￨compound fb0￨nsubj and￨cc fb1￨conj
what￨det flight￨nsubj go￨root from￨case ci1￨obl to￨case ci0￨obl
list￨compound list￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl
inform￨root on￨case flight￨obl from￨case ci0￨nmod to￨case ci1￨obl
list￨root all￨det:predet the￨det arriv￨compound flight￨obj at￨case ap0￨nmod
what￨det class￨root of￨case servic￨compound doe￨compound al0￨nmod provid￨punct
doe￨compound al0￨compound fli￨root from￨case ci0￨nmod to￨case ci1￨nmod
fare￨root and￨cc flight￨conj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det al0￨det flight￨nsubj leav￨csubj ci0￨root befor￨advmod ti0￨punct
what￨det flight￨nsubj go￨root to￨case ci0￨obl from￨case ci1￨obl
give￨root me￨iobj flight￨obj from￨case ci0￨obl to￨case ci1￨obl
where￨root doe￨compound al￨compound 0￨nummod fli￨nsubj to￨nmod from￨case ci0￨nmod
look￨root for￨case flight￨obl in￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root are￨cop the￨det price￨nsubj of￨case these￨det flight￨nmod
pleas￨compound list￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj
al0￨amod flight￨compound stop￨root in￨case ci0￨nmod befor￨case ti0￨nmod
what￨det ground￨compound transport￨nsubj is￨aux avail￨root into￨obl ci0￨punct
what￨det flight￨compound takeoff￨root and￨cc land￨conj at￨case ap0￨nmod
show￨root me￨iobj ground￨compound transport￨nsubj inform￨xcomp for￨case ci0￨obl
flight￨root between￨case ci0￨nmod and￨cc ci1￨amod one￨nummod way￨conj
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det type￨nsubj of￨case plane￨nmod is￨cop an￨det ac0￨root
flight￨root and￨cc fare￨conj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨obj fare￨xcomp from￨case ci0￨obl to￨case ci1￨obl
what￨det flight￨nsubj are￨cop from￨case ci1￨root to￨case ci0￨nmod
what￨det ground￨obl transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
shortest￨amod morn￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
inform￨root on￨case flight￨obl from￨case ci0￨nmod to￨case ci1￨obl
show￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl
when￨advmod do￨aux plane￨nsubj leav￨root ci1￨obj for￨case ci0￨obl
all￨det al0￨det flight￨root with￨case stopov￨nmod in￨case ci0￨nmod
what￨det flight￨nsubj leav￨root from￨case ci0￨obl to￨case ci1￨obl
what￨det time￨obj doe￨compound flight￨nsubj al0￨aux fn0￨aux depart￨root
show￨root me￨iobj the￨det ground￨compound transport￨obj at￨case ci0￨nmod
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl
which￨det airlin￨compound fli￨root between￨case ci0￨nmod and￨cc ci1￨conj
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl
tell￨root me￨obj about￨case ground￨compound transport￨obl in￨case ap0￨nmod
which￨det airlin￨compound fli￨root between￨case ci1￨nmod and￨cc ci0￨conj
show￨root me￨iobj all￨det flight￨compound arriv￨obj at￨case ci0￨nmod
ci0￨root to￨mark ci1￨advcl pleas￨obj on￨case mn0￨nmod dn0￨punct
shortest￨amod even￨advmod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
