airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
nonstop￨JJ￨amod￨ci1 flight￨NN￨compound￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WDT￨det￨airlin airlin￨NN￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT fn0￨.￨punct￨al0
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨obj￨have airlin￨PRP￨nsubj￨have have￨VBP￨root￨ROOT busi￨NN￨compound￨class class￨NN￨obj￨have
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
are￨VBP￨root￨ROOT there￨EX￨expl￨are al0￨DT￨det￨leav leav￨NN￨nsubj￨are ci0￨.￨punct￨are
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
ci0￨VB￨root￨ROOT to￨TO￨mark￨ci1 ci1￨VB￨xcomp￨ci0 on￨IN￨case￨da0 da0￨NNP￨obl￨ci1
what￨WP￨root￨ROOT is￨VBZ￨cop￨what book￨NN￨compound￨class class￨NN￨nsubj￨what fb0￨.￨punct￨what
doe￨NN￨compound￨al0 al0￨NNP￨compound￨ac0 aircraft￨NN￨compound￨ac0 fli￨NN￨compound￨ac0 ac0￨NN￨root￨ROOT
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
what￨WDT￨det￨al0 plane￨NN￨compound￨al0 doe￨NN￨compound￨al0 al0￨NN￨nsubj￨use use￨VB￨root￨ROOT
what￨WDT￨det￨doe doe￨NN￨nsubj￨restrict restrict￨VBP￨root￨ROOT rc0￨PRP￨obj￨restrict mean￨VB￨ccomp￨restrict
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
all￨DT￨det￨ci0 flight￨NN￨compound￨ci0 ci0￨NNS￨root￨ROOT to￨IN￨case￨ap0 ap0￨NNP￨nmod￨ci0
explain￨VB￨root￨ROOT the￨DT￨det￨code fare￨NN￨compound￨code code￨NN￨obj￨explain fb0￨.￨punct￨explain
what￨WDT￨det￨doe doe￨NN￨nsubj￨stand rc0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨punct￨stand
what￨WDT￨det￨servic limousin￨NN￨compound￨servic servic￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NN￨nmod￨servic
airlin￨NN￨nsubj￨stand that￨DT￨nsubj￨stand stand￨VB￨root￨ROOT for￨IN￨case￨al0 al0￨NNP￨obl￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
al0￨VB￨root￨ROOT to￨TO￨mark￨ci0 ci0￨VB￨xcomp￨al0 from￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WP￨nsubj￨stop al0￨MD￨aux￨stop stop￨VBP￨root￨ROOT in￨IN￨obl￨stop ci0￨.￨punct￨stop
what￨WDT￨det￨doe doe￨NN￨nsubj￨stand al0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨punct￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
tell￨VB￨root￨ROOT me￨PRP￨obj￨tell about￨IN￨case￨al0 al0￨PRP￨obl￨tell fn0￨.￨punct￨tell
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
nonstop￨JJ￨amod￨ci1 flight￨NN￨compound￨ci1 ci1￨NN￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨flight flight￨NN￨nsubj￨land land￨VBP￨root￨ROOT at￨IN￨case￨ap0 ap0￨NNP￨obl￨land
al0￨VB￨root￨ROOT with￨IN￨case￨stop stop￨NN￨obl￨al0 in￨IN￨case￨ci0 ci0￨NNP￨obl￨al0
what￨WDT￨det￨code doe￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
describ￨JJ￨amod￨ground ground￨NN￨compound￨transport transport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
al0￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨al0 to￨IN￨case￨ci1 ci1￨NNP￨nmod￨al0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨abbrevi abbrevi￨NN￨nsubj￨what ac0￨.￨punct￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨servic citi￨NNP￨compound￨servic doe￨NNP￨compound￨servic al0￨NN￨compound￨servic servic￨NN￨root￨ROOT
what￨WDT￨det￨code doe￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
what￨WDT￨det￨doe doe￨NN￨nsubj￨stand al0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨punct￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨st0 st0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨doe doe￨NN￨nsubj￨restrict restrict￨VBP￨root￨ROOT rc0￨PRP￨obj￨restrict mean￨VB￨ccomp￨restrict
what￨WDT￨det￨servic limousin￨NN￨compound￨servic servic￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NN￨nmod￨servic
al0￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨al0 to￨IN￨case￨ci1 ci1￨NNP￨nmod￨al0
flight￨NN￨nsubj￨start will￨MD￨aux￨start start￨VB￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨obl￨start
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WDT￨det￨ap doe￨NN￨compound￨ap ap￨NN￨nsubj￨stand 0￨CD￨nummod￨ap stand￨VB￨root￨ROOT for￨IN￨punct￨stand
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨class class￨NN￨nsubj￨what fb0￨.￨punct￨what
fare￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NN￨nmod￨fare and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show ci0￨DT￨det￨ground ground￨NN￨obj￨show transport￨NN￨obj￨show
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨doe doe￨NN￨nsubj￨stand fb0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨punct￨stand
what￨WDT￨det￨ap doe￨NN￨compound￨ap ap￨NN￨nsubj￨stand 0￨CD￨nummod￨ap stand￨VB￨root￨ROOT for￨IN￨punct￨stand
show￨VB￨root￨ROOT me￨PRP￨iobj￨show airport￨NN￨obj￨show near￨RB￨advmod￨show ci0￨NNP￨vocative￨show
what￨WP￨nsubj￨stand airlin￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨obl￨stand al0￨.￨punct￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨mn0 ci0￨NNP￨compound￨mn0 mn0￨NN￨nmod￨flight dn0￨.￨punct￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
doe￨NN￨nsubj￨stand al0￨MD￨aux￨stand stand￨VB￨root￨ROOT for￨IN￨case￨al0 al0￨NNP￨obl￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨flight flight￨NN￨nsubj￨leav leav￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨obl￨leav
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list at￨IN￨case￨ap0 ap0￨NNP￨obl￨list
ci0￨VB￨root￨ROOT to￨TO￨mark￨ci1 ci1￨VB￨xcomp￨ci0 on￨IN￨case￨da0 da0￨NNP￨obl￨ci1
pleas￨NNS￨compound￨list list￨NN￨nsubj￨inform inform￨VBP￨root￨ROOT regard￨NN￨obj￨inform ap0￨.￨punct￨inform
what￨WDT￨det￨code doe￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨ap doe￨NN￨compound￨ap ap￨NN￨nsubj￨stand 0￨CD￨nummod￨ap stand￨VB￨root￨ROOT for￨IN￨punct￨stand
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
ground￨NN￨compound￨transport transport￨NN￨nsubj￨ap0 ap0￨VBP￨root￨ROOT to￨IN￨case￨ci0 ci0￨NNP￨obl￨ap0
what￨WP￨nsubj￨fli airlin￨VBP￨aux￨fli fli￨VBP￨root￨ROOT into￨IN￨obl￨fli ci0￨.￨punct￨fli
what￨WDT￨det￨doe doe￨NN￨nsubj￨restrict restrict￨VBP￨root￨ROOT rc0￨PRP￨obj￨restrict mean￨VB￨ccomp￨restrict
ci0￨VB￨root￨ROOT to￨IN￨mark￨ci1 ci1￨VB￨advcl￨ci0 mn0￨NN￨obj￨ci1 dn0￨.￨punct￨ci0
al0￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨al0 to￨IN￨case￨ci1 ci1￨NNP￨nmod￨al0
doe￨NN￨compound￨al0 al0￨NN￨compound￨fli fli￨NN￨root￨ROOT into￨IN￨case￨ci0 ci0￨NNP￨nmod￨fli
al0￨JJ￨amod￨stop flight￨NN￨compound￨stop stop￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨stop
what￨WP￨root￨ROOT is￨VBZ￨cop￨what fare￨NN￨compound￨code code￨NN￨nsubj￨what fb0￨.￨punct￨what
doe￨NNP￨compound￨al0 al0￨NNS￨nsubj￨have have￨VBP￨root￨ROOT ani￨NNP￨compound￨flight flight￨NN￨obj￨have
flight￨NN￨root￨ROOT between￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight and￨CC￨cc￨ci0 ci0￨NNP￨conj￨ci1
flight￨NN￨root￨ROOT between￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight and￨CC￨cc￨ci0 ci0￨NNP￨conj￨ci1
da0￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨da0 to￨IN￨case￨ci1 ci1￨NNP￨nmod￨da0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨code fb0￨NN￨compound￨code code￨NN￨nsubj￨what
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨restrict rc0￨NN￨compound￨restrict restrict￨NN￨nsubj￨what
flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
is￨VBZ￨cop￨servic there￨PRP$￨nmod:poss￨servic limo￨NN￨compound￨servic servic￨NN￨root￨ROOT at￨IN￨case￨ap0 ap0￨NNP￨nmod￨servic
what￨WP￨nsubj￨airlin airlin￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨airlin to￨IN￨case￨ci1 ci1￨NNP￨obl￨airlin
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
latest￨JJS￨amod￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list depart￨VBP￨parataxis￨list from￨IN￨case￨ap0 ap0￨NNP￨obl￨depart
first￨JJ￨amod￨class class￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NN￨nmod￨class to￨IN￨case￨ci0 ci0￨NNP￨nmod￨class
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show ground￨NN￨compound￨transport transport￨NN￨obj￨show in￨IN￨case￨ci0 ci0￨NNP￨obl￨show
pleas￨NNS￨nsubj￨give give￨VBP￨root￨ROOT ground￨NN￨compound￨transport transport￨NN￨obj￨give at￨IN￨case￨ap0 ap0￨NNP￨obl￨give
what￨WP￨obj￨ci0 al0￨VBP￨aux￨ci0 leav￨VBP￨nsubj￨ci0 ci0￨VB￨root￨ROOT befor￨RB￨advmod￨ci0 ti0￨.￨punct￨ci0
show￨VB￨root￨ROOT al0￨NN￨obj￨show between￨IN￨case￨ci0 ci0￨NN￨obl￨show and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
all￨DT￨det￨flight flight￨NN￨root￨ROOT to￨IN￨mark￨ci0 ci0￨VB￨acl￨flight after￨RB￨advmod￨ti0 ti0￨NNP￨obl￨ci0
cheapest￨JJS￨amod￨fare fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
is￨VBZ￨root￨ROOT there￨PRP$￨nmod:poss￨transport ground￨NN￨nsubj￨is transport￨NN￨nsubj￨is in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
what￨WDT￨det￨code doe￨NN￨compound￨code fare￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
da0￨JJ￨amod￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
list￨NN￨compound￨ground ground￨NN￨compound￨option transport￨NN￨compound￨option option￨NN￨root￨ROOT at￨IN￨case￨ci0 ci0￨NNP￨nmod￨option
pleas￨NNS￨root￨ROOT list￨NN￨compound￨ground ground￨NN￨compound￨transport transport￨NN￨appos￨pleas in￨IN￨case￨ci0 ci0￨NNP￨nmod￨transport
what￨WDT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨pleas al0￨DT￨det￨pleas flight￨NN￨compound￨pleas pleas￨NNS￨obj￨show
cheapest￨JJS￨amod￨fare fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
show￨VB￨root￨ROOT flight￨NN￨obj￨show between￨IN￨case￨ci0 ci0￨NN￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
cheapest￨JJS￨amod￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
doe￨NN￨nsubj￨have the￨DT￨det￨ap0 ap0￨NNS￨nsubj￨have have￨VBP￨root￨ROOT a￨DT￨det￨name name￨NN￨obj￨have
show￨VB￨root￨ROOT me￨PRP￨iobj￨show ground￨NN￨compound￨transport transport￨NN￨obj￨show in￨IN￨case￨ci0 ci0￨NNP￨obl￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show into￨IN￨case￨ap0 ap0￨NNP￨nmod￨flight
what￨WDT￨det￨code doe￨NN￨compound￨code fare￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
earliest￨JJS￨amod￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨nsubj￨inform inform￨VBP￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨obl￨inform to￨IN￨case￨ci0 ci0￨NNP￨obl￨inform
flight￨NN￨nsubj￨inform inform￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨obl￨inform to￨IN￨case￨ci1 ci1￨NNP￨obl￨inform
show￨VB￨root￨ROOT me￨PRP￨iobj￨show ground￨NN￨compound￨transport transport￨NN￨obj￨show in￨IN￨case￨ci0 ci0￨NNP￨obl￨show
what￨WP￨nsubj￨use airlin￨MD￨aux￨use use￨VB￨root￨ROOT the￨DT￨det￨code code￨NN￨obj￨use al0￨.￨punct￨use
what￨WDT￨det￨code doe￨NN￨compound￨code fare￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
what￨WDT￨obl￨go al0￨DT￨det￨flight flight￨NN￨nsubj￨go go￨VB￨root￨ROOT through￨IN￨obl￨go ci0￨.￨punct￨go
which￨WDT￨det￨flight al0￨JJ￨amod￨flight flight￨NN￨nsubj￨go go￨VB￨root￨ROOT through￨IN￨obl￨go ci0￨.￨punct￨go
show￨VB￨root￨ROOT flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
lowest￨JJS￨amod￨fare fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
da0￨JJ￨amod￨flight flight￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ap0 ap0￨NNP￨nmod￨flight
ci1￨VB￨root￨ROOT to￨IN￨mark￨ci0 ci0￨VB￨xcomp￨ci1 pleas￨NNS￨compound￨flight breakfast￨NN￨compound￨flight flight￨NN￨obl￨ci1
what￨WP￨root￨ROOT are￨VBP￨cop￨what all￨PDT￨det:predet￨meal the￨DT￨det￨meal avail￨NN￨compound￨meal meal￨NN￨nsubj￨what
what￨WDT￨det￨code doe￨NN￨compound￨code fare￨NN￨compound￨code code￨NN￨nsubj￨mean fb0￨MD￨aux￨mean mean￨VBP￨root￨ROOT
flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨pleas ci1￨NNP￨compound￨pleas pleas￨NNS￨nmod￨flight
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
we￨PRP￨nsubj￨go 'r￨MD￨aux￨go go￨VB￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨obl￨go to￨IN￨case￨ci0 ci0￨NNP￨obl￨go
what￨WP￨obl￨ci0 airlin￨VBP￨aux￨ci0 fli￨VBP￨aux￨ci0 ci0￨VB￨root￨ROOT to￨IN￨case￨what ci1￨.￨punct￨ci0
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
where￨WRB￨root￨ROOT doe￨NNP￨compound￨fli al0￨NN￨compound￨intern intern￨NN￨compound￨fli fli￨NN￨nsubj￨where to￨.￨punct￨where
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight
morn￨NN￨compound￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
